tumor,expansion,type,count
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,5
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,3
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,6
3430_NT_T2,,non-expanding,1
3430_NT_T2,,non-expanding,3
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,1
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,1
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,3
3430_NT_T2,1.0,expanding,6
