	Gene
0	Vim
1	Ccnd2
2	Igfbp4
3	Lgals1
4	Igfbp6
5	Tcf4
6	Gng11
7	Pcolce
8	Fscn1
9	Aebp1
10	Igfbp3
11	Fbln2
12	Lrp1
13	Cdkn1c
14	Mdk
15	Ugdh
16	Klf10
17	Fzd1
18	Rgs2
19	Dcn
20	Plpp3
21	Prrx2
22	Ier3
23	Smad7
24	Tfpi
25	Adarb1
26	Ar
27	Tspan3
28	Vcan
29	Marcksl1
30	Tspan5
31	Tpst2
32	Pgrmc1
33	Lpar1
34	Tmem120a
35	Nudcd2
36	Sh3glb1
37	Ctsl
38	Flnc
39	Emp1
40	Psip1
41	Vps37b
42	Selm
43	Cdh2
44	Foxg1
45	Cdkn2a
46	Mxi1
47	Cnn3
48	Got1
49	Mex3a
50	Ahnak
51	Strap
52	Id1
53	Agpat4
54	Efemp1
55	Zfp36l2
56	Igf2bp3
57	Lsm3
58	Map1lc3a
59	Nolc1
60	Tra2a
61	Ewsr1
62	Arrdc4
63	Hs2st1
64	Ppp1r18
65	Mpp6
66	Adh7
67	Adgre5
68	Slc38a1
69	Igf2bp2
70	Eps8
71	Enah
72	Epb41l2
73	Emp3
74	Cd109
75	Rdh10
76	Marcks
77	Rrbp1
78	Smc3
79	Fam220a
80	Fbln7
81	Cks1b
82	Sh3kbp1
83	Eif4ebp1
84	Slc39a14
85	Asap1
86	Stc2
87	Cnbp
88	Hpse
89	Plod2
90	Grina
91	Cbarp
92	Rtn4
93	Tpbg
94	Atp2b1
95	Dlx2
96	Tcf3
97	Il6ra
98	Plec
99	Cdk4
100	Psma6
101	Npm3
102	Twist1
103	Snrpb2
104	Rab7
105	Bzw1
106	Cbfb
107	Amd1
108	Snrpf
109	Dkc1
110	Tmbim1
111	Wbp11
112	Gabarapl1
113	Prkar2b
114	Smc6
115	Atp6v0e2
116	Mndal
117	Cmtm3
118	Por
119	Uck2
120	Fkbp3
121	Sfr1
122	Pttg1ip
123	Rsbn1
124	Wwtr1
125	Emg1
126	Bri3bp
127	Luc7l2
128	Prdx2
129	Erdr1
130	C1qbp
131	Cacna2d1
132	Srxn1
133	Impdh2
134	Mettl9
135	Gpr137b
136	Gle1
137	Anp32b
138	Ptrf
139	Arhgap5
140	Krit1
141	Rrs1
142	Chst13
143	Srm
144	Svbp
145	Lsm5
146	Prmt1
147	Lsm8
148	Tead2
149	Tpr
150	Trnt1
151	Wasf1
152	Rrp15
153	Rabl6
154	Ccdc34
155	Pitpnc1
156	Mmp23
157	Eif4a1
158	Arpc1b
159	Nrp2
160	Cdca7
161	Nop56
162	Efna5
163	Grn
164	Gnl3
165	Armcx2
166	Ralgds
167	Klf16
168	Phf23
169	Lyar
170	Gstm5
171	Lman1
172	Rbm25
173	Cks2
174	Erc1
175	Ruvbl1
176	Eprs
177	Fam216a
178	Slc25a4
179	Gpsm2
180	Snrpd1
181	Tsc22d4
182	Ssr3
183	Psmd6
184	Hnrnpf
185	Aprt
186	Tkt
187	Ube2e3
188	Eif1a
189	Ehbp1l1
190	Ssb
191	Rrp1b
192	Jade1
193	Esf1
194	Dis3
195	Phb2
196	Fez2
197	Smc4
198	Nufip1
199	Bin1
200	Nfat5
201	Rbm39
202	Pde4a
203	Mlf1
204	Lsm2
205	Ubald2
206	Cct8
207	Tfap4
208	Uba3
209	Iffo2
210	Pip5k1a
211	Fjx1
212	Pcbp1
213	Tex30
214	Slk
215	Set
216	Rnf217
217	Erh
218	Crbn
219	Cct7
220	Baz1a
221	Tmed7
222	Praf2
223	Kitl
224	Srsf11
225	Ncl
226	Tmem237
227	P3h4
228	Ssrp1
229	Smarcc1
230	Pold2
231	Csnk1d
232	Pnn
233	Hiat1
234	Hspd1
235	2410002F23Rik
236	Mocs2
237	Scara3
238	Rad23b
239	Tmcc1
240	Psmc6
241	Ccdc86
242	Mcm7
243	Mgarp
244	Arhgap42
245	Magohb
246	Tsc22d2
247	Ccdc3
248	Kat2a
249	Pcna
250	Sertad2
251	Iqgap2
252	Npm1
253	Ddx1
254	Eif3c
255	Ddx27
256	Prpf40a
