genes	FreqDE	ConsistencyDE	ConsistencyToFreq
Lyz2	Lyz2	14	-14	1
Sftpa1	Sftpa1	14	-14	1
Cxcl15	Cxcl15	13	-13	1
Scd1	Scd1	13	-13	1
Sftpc	Sftpc	13	-13	1
H2-D1	H2-D1	12	-12	1
H2-Q7	H2-Q7	12	-12	1
Lcn2	Lcn2	12	-12	1
Napsa	Napsa	13	-11	0.846153846153846
B2m	B2m	11	-11	1
Chil1	Chil1	11	-11	1
Elovl1	Elovl1	11	-11	1
H2-K1	H2-K1	11	-11	1
Hc	Hc	11	-11	1
Slc34a2	Slc34a2	11	-11	1
Cd74	Cd74	10	-10	1
Dmkn	Dmkn	10	-10	1
H2-Aa	H2-Aa	10	-10	1
Lrg1	Lrg1	10	-10	1
Oat	Oat	10	-10	1
Zdhhc3	Zdhhc3	10	-10	1
Bcl2a1b	Bcl2a1b	9	-9	1
H2-Ab1	H2-Ab1	9	-9	1
H2-Q6	H2-Q6	9	-9	1
Lamp3	Lamp3	9	-9	1
Npw	Npw	9	-9	1
Ppp1r14c	Ppp1r14c	9	-9	1
Sftpd	Sftpd	9	-9	1
Bex2	Bex2	8	-8	1
Cd36	Cd36	8	-8	1
Cldn18	Cldn18	8	-8	1
Egfl6	Egfl6	8	-8	1
H2-Eb1	H2-Eb1	8	-8	1
H2-Q4	H2-Q4	8	-8	1
Irx1	Irx1	8	-8	1
Irx3	Irx3	8	-8	1
Nkd1	Nkd1	8	-8	1
Tmem243	Tmem243	8	-8	1
Spink5	Spink5	8	-8	1
S100g	S100g	9	-7	0.777777777777778
1110008P14Rik	1110008P14Rik	7	-7	1
Atp6v1c2	Atp6v1c2	7	-7	1
Cryab	Cryab	7	-7	1
Esam	Esam	7	-7	1
Fasn	Fasn	7	-7	1
H2-DMa	H2-DMa	7	-7	1
Irx2	Irx2	7	-7	1
Itga9	Itga9	7	-7	1
Ly6c2	Ly6c2	7	-7	1
Mlc1	Mlc1	7	-7	1
Npc2	Npc2	7	-7	1
Psmb8	Psmb8	7	-7	1
Scp2	Scp2	7	-7	1
Slpi	Slpi	7	-7	1
Lrat	Lrat	7	-7	1
Adgrf5	Adgrf5	6	-6	1
Ang	Ang	6	-6	1
Bex4	Bex4	6	-6	1
Ces1d	Ces1d	6	-6	1
Col6a1	Col6a1	6	-6	1
Csrp1	Csrp1	6	-6	1
Ctsc	Ctsc	6	-6	1
Dram1	Dram1	6	-6	1
Gstt1	Gstt1	6	-6	1
Hspb8	Hspb8	6	-6	1
Lhfp	Lhfp	6	-6	1
Ly6c1	Ly6c1	6	-6	1
Myct1	Myct1	6	-6	1
Nupr1	Nupr1	6	-6	1
Psmb9	Psmb9	6	-6	1
Ptprf	Ptprf	6	-6	1
Rasl11a	Rasl11a	6	-6	1
Rnase4	Rnase4	6	-6	1
Rora	Rora	6	-6	1
Sfta2	Sfta2	6	-6	1
Slc15a2	Slc15a2	6	-6	1
Slc26a9	Slc26a9	6	-6	1
Tacstd2	Tacstd2	6	-6	1
Tmem30a	Tmem30a	6	-6	1
Tmem37	Tmem37	6	-6	1
Tmem42	Tmem42	6	-6	1
Tmem50b	Tmem50b	6	-6	1
Tmprss4	Tmprss4	6	-6	1
Chia1	Chia1	6	-6	1
Kcnk2	Kcnk2	6	-6	1
Slc38a4	Slc38a4	6	-6	1
Prmt8	Prmt8	6	-6	1
Prnp	Prnp	7	-5	0.714285714285714
Rgs4	Rgs4	7	-5	0.714285714285714
Abca3	Abca3	5	-5	1
Adssl1	Adssl1	5	-5	1
Alas1	Alas1	5	-5	1
Atp8a1	Atp8a1	5	-5	1
Cd200	Cd200	5	-5	1
Cd302	Cd302	5	-5	1
Clip4	Clip4	5	-5	1
Cmtm6	Cmtm6	5	-5	1
Dcxr	Dcxr	5	-5	1
Emb	Emb	5	-5	1
Fam174b	Fam174b	5	-5	1
Gclc	Gclc	5	-5	1
H2-DMb1	H2-DMb1	5	-5	1
Hnmt	Hnmt	5	-5	1
Inhbb	Inhbb	5	-5	1
Ldhb	Ldhb	5	-5	1
Lgi3	Lgi3	5	-5	1
Lims1	Lims1	5	-5	1
Matn4	Matn4	5	-5	1
Mettl7a1	Mettl7a1	5	-5	1
Muc1	Muc1	5	-5	1
Oaz2	Oaz2	5	-5	1
Pde4b	Pde4b	5	-5	1
Pdzk1ip1	Pdzk1ip1	5	-5	1
Pf4	Pf4	5	-5	1
Ptgs1	Ptgs1	5	-5	1
Ramp1	Ramp1	5	-5	1
Rgcc	Rgcc	5	-5	1
Rmdn2	Rmdn2	5	-5	1
Rtn2	Rtn2	5	-5	1
Secisbp2l	Secisbp2l	5	-5	1
Serpine2	Serpine2	5	-5	1
Smagp	Smagp	5	-5	1
St3gal6	St3gal6	5	-5	1
Taok3	Taok3	5	-5	1
Tap2	Tap2	5	-5	1
Tmem110	Tmem110	5	-5	1
Vcpkmt	Vcpkmt	5	-5	1
Bcl2a1d	Bcl2a1d	5	-5	1
Cpm	Cpm	5	-5	1
Cst8	Cst8	5	-5	1
Gdpd2	Gdpd2	5	-5	1
H2-Q2	H2-Q2	5	-5	1
Rerg	Rerg	5	-5	1
Slco4c1	Slco4c1	5	-5	1
Acoxl	Acoxl	5	-5	1
Ooep	Ooep	5	-5	1
Ctsh	Ctsh	6	-4	0.666666666666667
Gde1	Gde1	6	-4	0.666666666666667
Itm2a	Itm2a	6	-4	0.666666666666667
Serpinf1	Serpinf1	6	-4	0.666666666666667
Tspan11	Tspan11	6	-4	0.666666666666667
Acsl4	Acsl4	4	-4	1
Adgrg1	Adgrg1	4	-4	1
Adrbk2	Adrbk2	4	-4	1
Akap7	Akap7	4	-4	1
Anapc13	Anapc13	4	-4	1
Arg2	Arg2	4	-4	1
Arhgap31	Arhgap31	4	-4	1
Atp11a	Atp11a	4	-4	1
Atp1b1	Atp1b1	4	-4	1
AU021092	AU021092	4	-4	1
Brd7	Brd7	4	-4	1
C1s1	C1s1	4	-4	1
C2cd4b	C2cd4b	4	-4	1
Cd164l2	Cd164l2	4	-4	1
Chchd10	Chchd10	4	-4	1
Chpt1	Chpt1	4	-4	1
Cmtm8	Cmtm8	4	-4	1
Cntrl	Cntrl	4	-4	1
Col4a1	Col4a1	4	-4	1
Col4a2	Col4a2	4	-4	1
Cox6b2	Cox6b2	4	-4	1
Cpq	Cpq	4	-4	1
Crem	Crem	4	-4	1
Cyp4v3	Cyp4v3	4	-4	1
Dapk2	Dapk2	4	-4	1
Elf5	Elf5	4	-4	1
Exosc7	Exosc7	4	-4	1
Fbxo4	Fbxo4	4	-4	1
Fdx1	Fdx1	4	-4	1
Gem	Gem	4	-4	1
Gnptab	Gnptab	4	-4	1
Gpx8	Gpx8	4	-4	1
H2-T22	H2-T22	4	-4	1
H2-T23	H2-T23	4	-4	1
Hdc	Hdc	4	-4	1
Hint2	Hint2	4	-4	1
Hpn	Hpn	4	-4	1
Ift20	Ift20	4	-4	1
Igsf5	Igsf5	4	-4	1
Il6	Il6	4	-4	1
Iqgap1	Iqgap1	4	-4	1
Irs2	Irs2	4	-4	1
Itih4	Itih4	4	-4	1
Kctd1	Kctd1	4	-4	1
Klk13	Klk13	4	-4	1
Lamb3	Lamb3	4	-4	1
Lpcat1	Lpcat1	4	-4	1
Lrrfip2	Lrrfip2	4	-4	1
Ly6i	Ly6i	4	-4	1
Me1	Me1	4	-4	1
Mid1ip1	Mid1ip1	4	-4	1
Mitf	Mitf	4	-4	1
Mpc1	Mpc1	4	-4	1
Mpc2	Mpc2	4	-4	1
Mrc2	Mrc2	4	-4	1
Mthfs	Mthfs	4	-4	1
Mylk	Mylk	4	-4	1
Nol3	Nol3	4	-4	1
Paqr8	Paqr8	4	-4	1
Pmvk	Pmvk	4	-4	1
Ppm1h	Ppm1h	4	-4	1
Pros1	Pros1	4	-4	1
Prss8	Prss8	4	-4	1
Rab27a	Rab27a	4	-4	1
Rgs10	Rgs10	4	-4	1
Rnaset2a	Rnaset2a	4	-4	1
Rprm	Rprm	4	-4	1
Sat1	Sat1	4	-4	1
Scamp1	Scamp1	4	-4	1
Scarb2	Scarb2	4	-4	1
Serpinb9	Serpinb9	4	-4	1
Sftpb	Sftpb	4	-4	1
Slc39a8	Slc39a8	4	-4	1
Slco2a1	Slco2a1	4	-4	1
Smpdl3a	Smpdl3a	4	-4	1
Snrpn	Snrpn	4	-4	1
Socs2	Socs2	4	-4	1
Sp110	Sp110	4	-4	1
St14	St14	4	-4	1
Stbd1	Stbd1	4	-4	1
Tc2n	Tc2n	4	-4	1
Tgfbi	Tgfbi	4	-4	1
Tmem163	Tmem163	4	-4	1
Tmem213	Tmem213	4	-4	1
Tmem38b	Tmem38b	4	-4	1
Tmsb4x	Tmsb4x	4	-4	1
Tnfsf9	Tnfsf9	4	-4	1
Trp53i11	Trp53i11	4	-4	1
Ttll7	Ttll7	4	-4	1
