genes	FreqDE	ConsistencyDE	ConsistencyToFreq
Cdkn2a	Cdkn2a	10	10	1
Gapdh	Gapdh	9	9	1
Gm9844	Gm9844	8	6	0.75
Krt7	Krt7	8	6	0.75
Marcks	Marcks	6	6	1
Mboat1	Mboat1	6	6	1
Pkm	Pkm	6	6	1
S100a6	S100a6	6	6	1
Tpi1	Tpi1	6	6	1
Clu	Clu	7	5	0.714285714285714
Kng2	Kng2	7	5	0.714285714285714
Aprt	Aprt	5	5	1
Arrdc4	Arrdc4	5	5	1
Cct7	Cct7	5	5	1
Ddx27	Ddx27	5	5	1
Eif1ax	Eif1ax	5	5	1
Emp1	Emp1	5	5	1
Enah	Enah	5	5	1
Gsta4	Gsta4	5	5	1
Gstm1	Gstm1	5	5	1
Hmga1	Hmga1	5	5	1
Hmga1-rs1	Hmga1-rs1	5	5	1
Kcnn4	Kcnn4	5	5	1
Lyar	Lyar	5	5	1
Mrps6	Mrps6	5	5	1
Nars	Nars	5	5	1
Pam	Pam	5	5	1
Pgk1	Pgk1	5	5	1
Phgdh	Phgdh	5	5	1
Ranbp1	Ranbp1	5	5	1
Rpl32	Rpl32	5	5	1
Serbp1	Serbp1	5	5	1
Snrpg	Snrpg	5	5	1
Mmp23	Mmp23	5	5	1
2200002D01Rik	2200002D01Rik	6	4	0.666666666666667
Fabp5	Fabp5	6	4	0.666666666666667
Ier3	Ier3	6	4	0.666666666666667
Krt19	Krt19	6	4	0.666666666666667
Plaur	Plaur	6	4	0.666666666666667
Tmsb10	Tmsb10	6	4	0.666666666666667
Adss	Adss	4	4	1
Aldoa	Aldoa	4	4	1
Apex1	Apex1	4	4	1
B4galt6	B4galt6	4	4	1
Bnip3	Bnip3	4	4	1
Cav2	Cav2	4	4	1
Ccdc34	Ccdc34	4	4	1
Cd2ap	Cd2ap	4	4	1
Cdk6	Cdk6	4	4	1
Cldn6	Cldn6	4	4	1
Cnn3	Cnn3	4	4	1
Creb5	Creb5	4	4	1
Dnajc10	Dnajc10	4	4	1
Dnajc2	Dnajc2	4	4	1
Efemp1	Efemp1	4	4	1
Efna5	Efna5	4	4	1
Eno1	Eno1	4	4	1
Eprs	Eprs	4	4	1
Eps8	Eps8	4	4	1
Esd	Esd	4	4	1
Fam107b	Fam107b	4	4	1
Fam162a	Fam162a	4	4	1
Fbl	Fbl	4	4	1
Frrs1	Frrs1	4	4	1
Glipr1	Glipr1	4	4	1
Hspa9	Hspa9	4	4	1
Hspd1	Hspd1	4	4	1
Itga6	Itga6	4	4	1
Lmo7	Lmo7	4	4	1
Lpar1	Lpar1	4	4	1
Lrrc59	Lrrc59	4	4	1
Magohb	Magohb	4	4	1
Manba	Manba	4	4	1
Mettl9	Mettl9	4	4	1
Mgat3	Mgat3	4	4	1
Mgst3	Mgst3	4	4	1
Mybbp1a	Mybbp1a	4	4	1
Npm1	Npm1	4	4	1
Onecut2	Onecut2	4	4	1
Pak1ip1	Pak1ip1	4	4	1
Pcolce	Pcolce	4	4	1
Pdcd11	Pdcd11	4	4	1
Pdgfc	Pdgfc	4	4	1
Pdxk	Pdxk	4	4	1
Pgam1	Pgam1	4	4	1
Pgrmc1	Pgrmc1	4	4	1
Phf23	Phf23	4	4	1
Plac8	Plac8	4	4	1
Pllp	Pllp	4	4	1
Ptcd3	Ptcd3	4	4	1
Ralgps2	Ralgps2	4	4	1
Ran	Ran	4	4	1
Rpl12	Rpl12	4	4	1
Ruvbl1	Ruvbl1	4	4	1
S100a11	S100a11	4	4	1
Set	Set	4	4	1
Setd8	Setd8	4	4	1
