"plateID"	"mouseID"	"timesimple"	"typeID"	"clusterK12"
"K_12w_ND_m1_T0_P1_S01"	"K_12w_ND_m1_T0_P1"	"K_12w_ND_m1"	"04_K_12w_ND"	"04_K_12w_ND"	5
"K_12w_ND_m1_T0_P1_S02"	"K_12w_ND_m1_T0_P1"	"K_12w_ND_m1"	"04_K_12w_ND"	"04_K_12w_ND"	5
"K_12w_ND_m1_T0_P1_S03"	"K_12w_ND_m1_T0_P1"	"K_12w_ND_m1"	"04_K_12w_ND"	"04_K_12w_ND"	1
"K_12w_ND_m1_T0_P1_S04"	"K_12w_ND_m1_T0_P1"	"K_12w_ND_m1"	"04_K_12w_ND"	"04_K_12w_ND"	3
"K_12w_ND_m1_T0_P1_S05"	"K_12w_ND_m1_T0_P1"	"K_12w_ND_m1"	"04_K_12w_ND"	"04_K_12w_ND"	1
"K_12w_ND_m1_T0_P1_S06"	"K_12w_ND_m1_T0_P1"	"K_12w_ND_m1"	"04_K_12w_ND"	"04_K_12w_ND"	5
"K_12w_ND_m1_T0_P1_S07"	"K_12w_ND_m1_T0_P1"	"K_12w_ND_m1"	"04_K_12w_ND"	"04_K_12w_ND"	5
"K_12w_ND_m1_T0_P1_S08"	"K_12w_ND_m1_T0_P1"	"K_12w_ND_m1"	"04_K_12w_ND"	"04_K_12w_ND"	2
"K_12w_ND_m1_T0_P1_S10"	"K_12w_ND_m1_T0_P1"	"K_12w_ND_m1"	"04_K_12w_ND"	"04_K_12w_ND"	5
"K_12w_ND_m1_T0_P1_S11"	"K_12w_ND_m1_T0_P1"	"K_12w_ND_m1"	"04_K_12w_ND"	"04_K_12w_ND"	1
"K_12w_ND_m1_T0_P1_S12"	"K_12w_ND_m1_T0_P1"	"K_12w_ND_m1"	"04_K_12w_ND"	"04_K_12w_ND"	1
"K_12w_ND_m1_T0_P1_S14"	"K_12w_ND_m1_T0_P1"	"K_12w_ND_m1"	"04_K_12w_ND"	"04_K_12w_ND"	1
"K_12w_ND_m1_T0_P1_S15"	"K_12w_ND_m1_T0_P1"	"K_12w_ND_m1"	"04_K_12w_ND"	"04_K_12w_ND"	5
"K_12w_ND_m1_T0_P1_S16"	"K_12w_ND_m1_T0_P1"	"K_12w_ND_m1"	"04_K_12w_ND"	"04_K_12w_ND"	5
"K_12w_ND_m1_T0_P1_S17"	"K_12w_ND_m1_T0_P1"	"K_12w_ND_m1"	"04_K_12w_ND"	"04_K_12w_ND"	5
