	FitnessSignature
K_12w_ND_m1_T0_P1_S01	0.459009740536987
K_12w_ND_m1_T0_P1_S02	0.19381887387464
K_12w_ND_m1_T0_P1_S03	-0.0427257505434191
K_12w_ND_m1_T0_P1_S04	-0.0473487493691902
K_12w_ND_m1_T0_P1_S05	-0.192314838797495
K_12w_ND_m1_T0_P1_S06	0.0805391887409196
K_12w_ND_m1_T0_P1_S07	0.104540227589933
K_12w_ND_m1_T0_P1_S08	0.0994360492208352
K_12w_ND_m1_T0_P1_S10	0.430334447768255
K_12w_ND_m1_T0_P1_S11	0.420008561170896
K_12w_ND_m1_T0_P1_S12	0.287250672315469
K_12w_ND_m1_T0_P1_S14	-0.0371935578468286
K_12w_ND_m1_T0_P1_S15	0.0958846235032479
K_12w_ND_m1_T0_P1_S16	-0.314499150341224
K_12w_ND_m1_T0_P1_S17	-0.329016390868613
K_12w_ND_m1_T0_P1_S18	0.427605194561607
K_12w_ND_m1_T0_P1_S19	-0.188387691315277
K_12w_ND_m1_T0_P1_S21	-0.0572439098907418
K_12w_ND_m1_T0_P1_S22	0.139047367438018
K_12w_ND_m1_T0_P1_S23	-0.295337776192575
K_12w_ND_m1_T0_P1_S25	-0.156911772988353
K_12w_ND_m1_T0_P1_S26	0.15439629796736
K_12w_ND_m1_T0_P1_S28	0.143081181791205
K_12w_ND_m1_T0_P1_S29	-0.268180587360653
K_12w_ND_m1_T0_P1_S30	-0.259135329147593
K_12w_ND_m1_T0_P1_S31	0.0159058611733078
K_12w_ND_m1_T0_P1_S32	-0.277104390505195
K_12w_ND_m1_T0_P1_S33	0.213413398115194
K_12w_ND_m1_T0_P1_S34	0.0201898872449336
K_12w_ND_m1_T0_P1_S35	-0.327175906107245
K_12w_ND_m1_T0_P1_S36	0.490840601641845
K_12w_ND_m1_T0_P1_S37	0.108756250107671
K_12w_ND_m1_T0_P1_S38	-0.358004319610554
K_12w_ND_m1_T0_P1_S40	-0.300849295975294
K_12w_ND_m1_T0_P1_S41	0.309963377502535
K_12w_ND_m1_T0_P1_S42	-0.379365964950536
K_12w_ND_m1_T0_P1_S44	-0.290839274197481
K_12w_ND_m1_T0_P1_S45	0.0570680738050491
K_12w_ND_m1_T0_P1_S46	-0.309428275952713
K_12w_ND_m1_T0_P1_S47	-0.279254914971492
K_12w_ND_m1_T0_P1_S48	-0.0290144161996126
K_12w_ND_m1_T0_P1_S49	0.443078163276207
K_12w_ND_m1_T0_P1_S50	0.350903651619125
K_12w_ND_m1_T0_P1_S51	-0.344153745149951
K_12w_ND_m1_T0_P1_S52	0.106066829003949
K_12w_ND_m1_T0_P1_S53	-0.2819620272138
K_12w_ND_m1_T0_P1_S55	0.043774957870458
K_12w_ND_m1_T0_P1_S56	0.231528442510948
K_12w_ND_m1_T0_P1_S57	0.296381751896745
K_12w_ND_m1_T0_P1_S58	-0.321794725867221
K_12w_ND_m1_T0_P1_S60	0.260597469732929
K_12w_ND_m1_T0_P1_S61	-0.0174045797982571
K_12w_ND_m1_T0_P1_S62	0.0980785198301339
K_12w_ND_m1_T0_P1_S63	-0.311296102152493
K_12w_ND_m1_T0_P1_S64	0.280741506547672
K_12w_ND_m1_T0_P1_S65	0.310599126519875
K_12w_ND_m1_T0_P1_S66	-0.294245394355893
K_12w_ND_m1_T0_P1_S67	0.453786854424455
K_12w_ND_m1_T0_P1_S68	-0.33744960778211
K_12w_ND_m1_T0_P1_S69	0.341354514336079
K_12w_ND_m1_T0_P1_S70	-0.248944510100347
K_12w_ND_m1_T0_P1_S71	0.224128205785514
K_12w_ND_m1_T0_P1_S73	-0.274865493399723
K_12w_ND_m1_T0_P1_S74	-0.147474950999705
K_12w_ND_m1_T0_P1_S75	0.124047990232571
K_12w_ND_m1_T0_P1_S76	0.0163556376837108
K_12w_ND_m1_T0_P1_S77	-0.335021012166715
K_12w_ND_m1_T0_P1_S78	-0.120200739572262
K_12w_ND_m1_T0_P1_S79	-0.001787925352468
K_12w_ND_m1_T0_P1_S80	-0.308987244238042
K_12w_ND_m1_T0_P1_S83	0.325401224095682
K_12w_ND_m1_T0_P1_S84	-0.341840894335141
K_12w_ND_m1_T0_P1_S85	0.299758245630172
K_12w_ND_m1_T0_P1_S86	0.357725709548418
K_12w_ND_m1_T0_P1_S88	-0.363661352052002
K_12w_ND_m1_T0_P1_S89	0.0810207420054576
K_12w_ND_m1_T0_P1_S90	0.139449307999608
K_12w_ND_m1_T0_P1_S91	-0.261898905191065
K_12w_ND_m1_T0_P1_S92	0.0866241720218737
K_12w_ND_m1_T0_P1_S93	-0.284148962997945
K_12w_ND_m1_T0_P1_S94	0.345168689044534
K_12w_ND_m1_T0_P1_S96	-0.155182769725089
K_12w_ND_m1_T0_P4_S100	0.0457008074212101
K_12w_ND_m1_T0_P4_S101	-0.314242104138751
K_12w_ND_m1_T0_P4_S102	-0.0609264239081084
K_12w_ND_m1_T0_P4_S103	0.35731627431133
K_12w_ND_m1_T0_P4_S105	0.216280823612327
K_12w_ND_m1_T0_P4_S107	-0.260816593911903
K_12w_ND_m1_T0_P4_S110	0.270360625754
K_12w_ND_m1_T0_P4_S112	-0.0570674806905044
K_12w_ND_m1_T0_P4_S113	-0.0463992144957351
K_12w_ND_m1_T0_P4_S118	0.265115360824057
K_12w_ND_m1_T0_P4_S119	-0.113526618879469
K_12w_ND_m1_T0_P4_S120	-0.0047481514407639
K_12w_ND_m1_T0_P4_S121	-0.354837690463894
K_12w_ND_m1_T0_P4_S122	-0.313542963881586
K_12w_ND_m1_T0_P4_S123	0.45501270926738
K_12w_ND_m1_T0_P4_S124	-0.308484336642861
K_12w_ND_m1_T0_P4_S125	-0.0967435104692744
K_12w_ND_m1_T0_P4_S126	-0.0423459120374096
K_12w_ND_m1_T0_P4_S127	0.0015585246453916
K_12w_ND_m1_T0_P4_S128	-0.0801695390358496
K_12w_ND_m1_T0_P4_S129	0.209606431797815
K_12w_ND_m1_T0_P4_S130	0.0395385841548443
K_12w_ND_m1_T0_P4_S131	0.32299029573413
K_12w_ND_m1_T0_P4_S132	-0.01429562621547
K_12w_ND_m1_T0_P4_S133	0.257228213093466
K_12w_ND_m1_T0_P4_S134	0.342723088633015
K_12w_ND_m1_T0_P4_S135	-0.187367884163445
K_12w_ND_m1_T0_P4_S136	-0.283014335733661
K_12w_ND_m1_T0_P4_S137	-0.0368329096432642
K_12w_ND_m1_T0_P4_S138	-0.380296659414772
K_12w_ND_m1_T0_P4_S139	-0.272466348989139
K_12w_ND_m1_T0_P4_S140	0.205298791873985
K_12w_ND_m1_T0_P4_S145	0.287806193029279
K_12w_ND_m1_T0_P4_S146	0.177282913758125
