	genotypesgApc_names	genotypesgApc_logfoldchanges	genotypesgApc_pvals_adj	genotypesgApc_percent_expressed	genotypesgLkb1_names	genotypesgLkb1_logfoldchanges	genotypesgLkb1_pvals_adj	genotypesgLkb1_percent_expressed	genotypesgNT_names	genotypesgNT_logfoldchanges	genotypesgNT_pvals_adj	genotypesgNT_percent_expressed
0	Scgb1a1	4.36103	4.405705702096879e-151	0.68915665	Ifitm1	6.6733503	0.0	0.9480543	Ly6d	2.6050851	0.0	0.82566404
1	Ctsh	1.5281909	5.48727351276933e-72	0.76626503	Ifitm3	5.426477	0.0	0.97968674	Rps28	0.8211024	1.3480209489032476e-306	0.9906472
2	Sftpc	1.2803594	2.52777302667923e-62	0.9060241	Ltf	4.690491	0.0	0.9580274	Apoc1	3.061546	3.2698790570688072e-257	0.5312383
3	Apoe	1.9943898	3.7630821852295146e-58	0.6578313	Enpp2	4.9174123	0.0	0.7690896	Rpl32	0.5668913	5.4753041950775e-235	0.9973812
4	Ly6c1	1.8549654	4.273880539074759e-54	0.5759036	Sox17	6.3140144	0.0	0.6901004	Rps5	0.6309866	3.916515436026525e-232	0.9958848
5	Socs2	2.05037	9.084312236356893e-52	0.47469878	Ifitm2	3.5252213	0.0	0.99810326	Clu	1.1832045	1.932054647617111e-211	0.97530866
6	Vsig2	2.3652573	1.365233505819856e-46	0.38915664	Tmem252	5.89293	0.0	0.70515174	Ctla2a	2.8637104	9.844981198571992e-173	0.45716423
7	Clu	0.85963625	2.0304467516954612e-44	0.9927711	Far1	3.19524	0.0	0.9426089	Apoe	1.6058351	3.0964229658816367e-162	0.6251403
8	Apoc1	2.038266	1.0620129127370438e-42	0.46626505	Ramp3	4.636601	0.0	0.62977237	Fabp5	2.3461692	6.90200471655597e-159	0.44369623
9	Bgn	1.8431057	7.607774741328177e-35	0.38313252	Stmn2	4.4896474	0.0	0.69364905	Ftl1	0.44423115	3.3503575015194003e-155	1.0
10	Tnfrsf11b	2.611884	8.257732477388422e-34	0.28313252	Il33	3.5776367	0.0	0.8263583	Rpl13	0.4363747	1.3464509156242498e-152	0.99700713
11	Bmp4	1.463614	3.398190808304468e-32	0.4361446	Aldh1a2	4.735179	0.0	0.58327216	Gm11808	0.59729564	2.3362640942156835e-151	0.97268987
12	Tmsb4x	0.5147832	4.681657169460653e-32	0.99759036	Igfbp3	3.1736035	0.0	0.82513463	Rps18	0.47466463	3.1001860802857597e-150	0.99513656
13	Uchl1	2.630475	9.68079505830929e-31	0.2626506	Krt14	3.3590784	0.0	0.78817916	Meg3	2.1404064	6.036970527150007e-148	0.47474748
14	Cnn2	1.0943009	9.864066290207325e-30	0.5530121	Mmp7	4.3698864	0.0	0.618698	Fau	0.42698136	7.835997242435057e-148	0.99700713
15	Bok	0.96620166	6.1359320635692415e-28	0.586747	Slpi	3.5355375	0.0	0.72289526	Tff2	3.5100083	1.0415527489425113e-140	0.3359521
16	Asns	1.8134334	1.4814114255696123e-26	0.29277107	Aspa	3.807692	0.0	0.54839694	Gkn2	2.7749026	1.0831996711605163e-137	0.42948
17	Emp2	0.8924673	2.230154362667601e-26	0.6120482	Pde4b	4.406989	0.0	0.43337005	Duoxa2	3.5674284	5.243933218267634e-133	0.28469884
18	Thbs1	1.1571273	1.279101303497861e-24	0.47710842	Irx3	2.706466	0.0	0.8311919	Wdr89	0.53032196	4.9316437455312874e-132	0.98129445
